date;sku;error
2023-03-13 09:34:56;S5132008-S;notFound
2023-03-13 09:34:56;S5132016-S;notFound
2023-03-13 09:34:57;22SKV031;notFound
2023-03-13 09:34:57;S5132008-S;notFound
2023-03-13 09:34:57;16SKV267;notFound
2023-03-13 09:34:57;016-20370927;notFound
2023-03-13 09:34:57;016-20370927;notFound
2023-03-13 09:34:58;016-20370927;notFound
2023-03-13 09:34:58;16SKV267;notFound
2023-03-13 09:34:58;S5132008-S;notFound
2023-03-13 09:34:58;22SKV031;notFound
2023-03-13 09:34:58;016-20370927;notFound
2023-03-13 09:34:58;22SKV031;notFound
2023-03-13 09:34:58;16SKV267;notFound
2023-03-13 09:34:58;S5132016-S;notFound
2023-03-13 09:34:59;S5132016-S;notFound
2023-03-13 09:34:59;16SKV267;notFound
2023-03-13 09:34:59;S5132008-S;notFound
2023-03-13 09:34:59;S5132008-S;notFound
2023-03-13 09:34:59;S5132016-S;notFound
2023-03-13 09:34:59;16SKV267;notFound
2023-03-13 10:10:44;22SKV031;notFound
2023-03-13 10:10:44;170408H800;notFound
2023-03-13 10:10:44;VITOA6393370310;notFound
2023-03-13 10:10:45;S5132008-S;notFound
2023-03-13 10:10:45;S5132016-S;notFound
2023-03-13 10:10:45;016-21101727;notFound
2023-03-13 10:10:45;016-20370927;notFound
2023-03-13 10:10:46;BKS-RE-002;notFound
2023-03-13 10:10:46;RM4014EW;notFound
2023-03-13 10:10:51;BKS-AU-001L;notFound
2023-03-13 10:10:51;BKS-AU-001L;notFound
2023-03-13 10:10:51;BKS-AU-001L;notFound
2023-03-13 10:10:51;BKS-AU-001L;notFound
2023-03-13 10:10:51;BKS-AU-001L;notFound
2023-03-13 10:10:51;BKS-AU-001R;notFound
2023-03-13 10:10:51;BKS-AU-001R;notFound
2023-03-13 10:10:51;BKS-AU-001R;notFound
2023-03-13 10:10:51;BKS-AU-001R;notFound
2023-03-13 10:10:51;BKS-AU-001R;notFound
2023-03-13 10:10:51;BKS-AU-001R;notFound
2023-03-13 10:10:51;22SKV031;notFound
2023-03-13 10:10:51;16SKV267;notFound
2023-03-13 10:10:51;22SKV031;notFound
2023-03-13 10:10:53;016-20370927;notFound
2023-03-13 10:10:53;22SKV031;notFound
2023-03-13 10:10:54;22SKV031;notFound
2023-03-13 10:10:54;S5132016-S;notFound
2023-03-13 10:10:57;16SKV267;notFound
2023-03-13 10:10:58;S5132008-S;notFound
2023-03-13 10:10:59;S5132016-S;notFound
